"","species","brain_mass_g_log_mean","brain_se_squared","n_brain","body_mass_g_log_mean","body_se_squared","n_body","neocortex_area_mm2_log_mean","neocortex_se_squared","n_neocortex","diet"
"1","Addax_nasomaculatus",5.30242544393371,0.00546995089641745,2,11.6379155676041,0.021305744644628,2,9.96927379563474,0.00361245773032462,3,"MF"
"2","Aepyceros_melampus",5.15238690954578,0.000994536526621355,11,10.9479935447373,0.00387377175356873,11,9.95720311412781,0.000492607872316994,22,"MF"
"3","Alcelaphus_buselaphus_buselaphus",5.693832202981,0.00218798035856698,5,11.879785781669,0.0085222978578512,5,10.2765310055144,0.00108373731909739,10,"Gr"
"4","Antidorcas_marsupialis",4.91203372614456,0.000841530907141146,13,10.4844306545655,0.00327780686840431,13,9.72017060160628,0.000833644091613375,13,"MF"
"5","Antilocapra_americana",4.79579054559674,0.0109399017928349,1,10.9852927228879,0.042611489289256,1,9.724565121025,0.00541868659548694,2,"MF"
"6","Antilope_cervicapra",4.77068462446567,0.0109399017928349,1,10.4193007178132,0.042611489289256,1,9.61560477314002,0.00541868659548694,2,"MF"
"7","Capreolus_capreolus",4.47031459242282,0.00546995089641745,2,9.84662316987196,0.021305744644628,2,9.46743638300595,0.00541868659548694,2,"Br"
"8","Cephalophus_natalensis",4.4188406077966,0.0109399017928349,1,9.43348392329039,0.042611489289256,1,8.83678349686164,0.00541868659548694,2,"Br"
"9","Cephalophus_nigrifrons",4.41820398252128,0.00364663393094497,3,9.58130904434087,0.021305744644628,2,8.89209243021423,0.00180622886516231,6,"Br"
"10","Connochaetes_gnou",5.72031177660741,0.0109399017928349,1,11.9183905730784,0.042611489289256,1,10.2646156535629,0.00541868659548694,2,"Gr"
"11","Connochaetes_taurinus_1",5.9186528915685,0.00364663393094497,3,12.0450932721038,0.0142038297630853,3,10.3661456331087,0.00180622886516231,6,"Gr"
"12","Eudorcas_rufifrons_2",4.57624323328589,0.00364663393094497,3,10.164407332286,0.0142038297630853,3,9.30081887419524,0.00216747463819477,5,"MF"
"13","Gazella_dorcas_pelzelnii",4.25331761478161,0.00182331696547248,6,9.73832273629135,0.0085222978578512,5,8.85498054683338,0.000985215744633988,11,"MF"
"14","Giraffa_camelopardalis_angolensis_NC012100",6.48463523563525,0.0109399017928349,1,13.3046849341983,0.042611489289256,1,10.6977010418309,0.0108373731909739,1,"Br"
"15","Hippotragus_equinus",5.94537959044608,0.00182331696547248,6,12.4442259336277,0.00710191488154267,6,10.4587989320922,0.000903114432581156,12,"Gr"
"16","Hippotragus_niger",5.64190707093811,0.00546995089641745,2,12.0137007528827,0.021305744644628,2,10.1781277952961,0.00270934329774347,4,"Gr"
"17","Kobus_ellipsiprymnus",5.76493959415005,0.00364663393094497,3,12.3252027498639,0.0142038297630853,3,10.254178167445,0.00180622886516231,6,"MF"
"18","Kobus_leche",5.40717177146012,0.0109399017928349,1,11.6952470217642,0.042611489289256,1,9.60556789925265,0.00541868659548694,2,"MF"
"19","Litocranius_walleri",5.0302456506729,0.00546995089641745,2,10.9293460493686,0.021305744644628,2,9.88261911410167,0.00270934329774347,4,"Br"
"20","Madoqua_kirkii",3.52006374977398,0.00136748772410436,8,8.46133586154371,0.005326436161157,8,8.2771071141022,0.000677335824435867,16,"Br"
"21","Nanger_dama",5.01061307138019,0.00546995089641745,2,10.9931309908609,0.021305744644628,2,9.64621155139627,0.00361245773032462,3,"MF"
"22","Nanger_granti",4.93773624119659,0.00273497544820873,4,10.7144796419061,0.010652872322314,4,9.79578108226469,0.00135467164887173,8,"MF"
"23","Nesotragus_moschatus",3.52462742062792,0.00546995089641745,2,8.11571216813266,0.021305744644628,2,8.19072792583223,0.00270934329774347,4,"Br"
"24","Okapia_johnstoni",6.16331480403464,0.0109399017928349,1,12.3883942023241,0.042611489289256,1,10.1793753451052,0.0108373731909739,1,"Br"
"25","Oreotragus_oreotragus",4.10655534879834,0.00546995089641745,2,9.42623158018895,0.021305744644628,2,8.60656525962514,0.00270934329774347,4,"MF"
"26","Oryx_dammah",5.48409914476428,0.00546995089641745,2,11.7705334510039,0.021305744644628,2,10.0720525625167,0.00361245773032462,3,"MF"
"27","Oryx_gazella",5.75257263882563,0.00546995089641745,2,12.2060726455302,0.021305744644628,2,10.3174930279362,0.00270934329774347,4,"MF"
"28","Ourebia_ourebi",3.97753713663135,0.00546995089641745,2,9.62242809345936,0.021305744644628,2,8.57497404576678,0.00270934329774347,4,"MF"
"29","Philantomba_monticola_1",3.71816129211214,0.00546995089641745,2,8.49364738764931,0.021305744644628,2,8.45442198405959,0.00270934329774347,4,"Br"
"30","Rahicerus_campestris",3.92059913083737,0.00121554464364832,9,9.2174782027236,0.00473460992102844,9,8.47520716575722,0.000602076288387437,18,"MF"
"31","Redunca_arundinum",4.93066802621797,0.00218798035856698,5,10.9883914623396,0.0085222978578512,5,9.71211591795902,0.00120415257677487,9,"Gr"
"32","Redunca_fulvorufula",4.78707490240776,0.00546995089641745,2,10.4024229119694,0.021305744644628,2,9.62945666129576,0.00270934329774347,4,"Gr"
"33","Rupicapra_rupicapra_FJ207538",4.76621193557265,0.00546995089641745,2,10.2177918822473,0.021305744644628,2,9.73136645176927,0.00270934329774347,4,"MF"
"34","Saiga_tatarica",4.51743127168008,0.0109399017928349,1,10.5966347330961,0.042611489289256,1,9.51269901526969,0.00541868659548694,2,"MF"
"35","Sylvicapra_grimmia",4.33950143309652,0.00136748772410436,8,9.36717052241458,0.005326436161157,8,8.77655998215919,0.000677335824435867,16,"Br"
"36","Syncerus_caffer",6.19818118598665,0.00546995089641745,2,12.9581113439183,0.021305744644628,2,10.5328733099322,0.00270934329774347,4,"Gr"
"37","Tragelaphus_angasii",5.4249500174814,0.0109399017928349,1,11.8130300574206,0.042611489289256,1,9.88904918580945,0.00541868659548694,2,"Br"
"38","Tragelaphus_eurycerus",5.97927977721598,0.00546995089641745,2,12.2548628096996,0.042611489289256,1,10.4001391874218,0.00270934329774347,4,"MF"
"39","Tragelaphus_imberbis",5.36597601502185,0.0109399017928349,1,11.8493977015914,0.042611489289256,1,9.90134238109963,0.00541868659548694,2,"MF"
"40","Tragelaphus_oryx",6.27287700654617,0.0109399017928349,1,13.2176735572087,0.042611489289256,1,10.6778438938614,0.00541868659548694,2,"MF"
"41","Tragelaphus_scriptus_3",4.83124988778036,0.00364663393094497,3,10.0366952447443,0.0142038297630853,3,9.67062383474392,0.00180622886516231,6,"Br"
"42","Tragelaphus_spekii",5.09602361272414,0.00273497544820873,4,10.7802566807401,0.021305744644628,2,9.83184258609154,0.00135467164887173,8,"MF"
"43","Tragelaphus_strepsiceros",5.89750697063843,0.00182331696547248,6,12.5436249397935,0.010652872322314,4,10.3665928055812,0.000903114432581156,12,"Br"
